TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7032071","Flesh & Blood TCG","Outsiders","Brush Off (Red)","","OUT228","Common","Near Mint","0.17","","1.0200","0.0300","12","0","0.1200",""
"7032076","Flesh & Blood TCG","Outsiders","Brush Off (Red)","","OUT228","Common","Near Mint Rainbow Foil","0.34","","1.1200","0.1300","1","0","0.2900",""
"7032081","Flesh & Blood TCG","Outsiders","Brush Off (Yellow)","","OUT229","Common","Near Mint","0.15","","1.0400","0.0500","8","0","0.1000",""
"7031106","Flesh & Blood TCG","Outsiders","Burdens of the Past","","OUT187","Majestic","Near Mint","1.68","","2.3800","1.3900","0","0","1.7300",""
"7031111","Flesh & Blood TCG","Outsiders","Burdens of the Past","","OUT187","Majestic","Near Mint Rainbow Foil","3.97","","4.4700","3.4800","1","0","3.9200",""
"7030690","Flesh & Blood TCG","Outsiders","Codex of Bloodrot","","OUT159","Majestic","Near Mint","7.27","","6.7200","6.7200","0","0","7.2300",""
"7030736","Flesh & Blood TCG","Outsiders","Codex of Bloodrot (Marvel)","","OUT159","Marvel","Near Mint Cold Foil","200.17","","146.9900","145.0000","0","0","146.9800",""
"7022003","Flesh & Blood TCG","Outsiders","Codex of Frailty","","OUT160","Majestic","Near Mint","40.97","","43.9900","43.0000","0","0","39.9600",""
"7018376","Flesh & Blood TCG","Outsiders","Collapsing Trap","","OUT103","Majestic","Near Mint","3.40","","4.2200","3.2300","0","0","3.4000",""
"7031741","Flesh & Blood TCG","Outsiders","Collapsing Trap","","OUT103","Majestic","Near Mint Rainbow Foil","11.05","","9.9800","8.9900","1","0","10.9300",""
"7032036","Flesh & Blood TCG","Outsiders","Come to Fight (Blue)","","OUT224","Common","Near Mint","0.04","","1.0300","0.0400","11","0","0.0500",""
"7031996","Flesh & Blood TCG","Outsiders","Come to Fight (Red)","","OUT222","Common","Near Mint","0.17","","1.0400","0.0500","11","0","0.1200",""
"7032021","Flesh & Blood TCG","Outsiders","Come to Fight (Yellow)","","OUT223","Common","Near Mint","0.05","","1.0300","0.0400","9","0","0.0500",""
"7031496","Flesh & Blood TCG","Outsiders","Cut Down to Size (Blue)","","OUT203","Common","Near Mint","0.14","","1.0400","0.0500","11","0","0.0900",""
"7031501","Flesh & Blood TCG","Outsiders","Cut Down to Size (Blue)","","OUT203","Common","Near Mint Rainbow Foil","0.42","","1.1800","0.1900","1","0","0.2800",""
"7031446","Flesh & Blood TCG","Outsiders","Cut Down to Size (Red)","","OUT201","Common","Near Mint","0.15","","1.0200","0.0300","11","0","0.1000",""
"7031476","Flesh & Blood TCG","Outsiders","Cut Down to Size (Yellow)","","OUT202","Common","Near Mint","0.14","","1.0400","0.0500","9","0","0.0900",""
"7031481","Flesh & Blood TCG","Outsiders","Cut Down to Size (Yellow)","","OUT202","Common","Near Mint Rainbow Foil","0.25","","1.1200","0.1300","1","0","0.1900",""
"7030741","Flesh & Blood TCG","Outsiders","Deadly Duo (Blue)","","OUT073","Common","Near Mint","0.15","","1.0400","0.0500","9","0","0.1000",""
"7030746","Flesh & Blood TCG","Outsiders","Deadly Duo (Blue)","","OUT073","Common","Near Mint Rainbow Foil","0.13","","1.0300","0.0400","2","0","0.0700",""
"7030701","Flesh & Blood TCG","Outsiders","Deadly Duo (Red)","","OUT071","Common","Near Mint","0.12","","1.0400","0.0500","8","0","0.0800",""
"7030706","Flesh & Blood TCG","Outsiders","Deadly Duo (Red)","","OUT071","Common","Near Mint Rainbow Foil","0.11","","1.0500","0.0600","1","0","0.0800",""
"7030726","Flesh & Blood TCG","Outsiders","Deadly Duo (Yellow)","","OUT072","Common","Near Mint","0.12","","1.0400","0.0500","8","0","0.0800",""
"7030731","Flesh & Blood TCG","Outsiders","Deadly Duo (Yellow)","","OUT072","Common","Near Mint Rainbow Foil","0.18","","1.1000","0.1100","1","0","0.1500",""
"7021983","Flesh & Blood TCG","Outsiders","Death Touch (Blue)","","OUT164","Rare","Near Mint","0.15","","1.0600","0.0700","5","0","0.1200",""
"7021963","Flesh & Blood TCG","Outsiders","Death Touch (Red)","","OUT162","Rare","Near Mint","0.19","","1.0800","0.0900","2","0","0.1300",""
"7021968","Flesh & Blood TCG","Outsiders","Death Touch (Yellow)","","OUT163","Rare","Near Mint","0.14","","1.0500","0.0600","4","0","0.1200",""
"7039535","Flesh & Blood TCG","Outsiders","Death Touch (Yellow)","","OUT163","Rare","Near Mint Rainbow Foil","0.87","","1.5300","0.5400","1","0","0.7300",""
"7030836","Flesh & Blood TCG","Outsiders","Descendent Gustwave (Blue)","","OUT076","Common","Near Mint","0.19","","1.0400","0.0500","8","0","0.1200",""
"7030841","Flesh & Blood TCG","Outsiders","Descendent Gustwave (Blue)","","OUT076","Common","Near Mint Rainbow Foil","0.49","","1.0600","0.0700","1","0","0.3000",""
"7030781","Flesh & Blood TCG","Outsiders","Descendent Gustwave (Red)","","OUT074","Common","Near Mint","0.10","","1.0400","0.0500","8","0","0.0900",""
"7030786","Flesh & Blood TCG","Outsiders","Descendent Gustwave (Red)","","OUT074","Common","Near Mint Rainbow Foil","0.36","","1.0600","0.0700","1","0","0.3100",""
"7030816","Flesh & Blood TCG","Outsiders","Descendent Gustwave (Yellow)","","OUT075","Common","Near Mint","0.13","","1.0400","0.0500","5","0","0.1100",""
"7031581","Flesh & Blood TCG","Outsiders","Destructive Deliberation (Blue)","","OUT206","Common","Near Mint","0.18","","1.0400","0.0500","9","0","0.1100",""
"7031586","Flesh & Blood TCG","Outsiders","Destructive Deliberation (Blue)","","OUT206","Common","Near Mint Rainbow Foil","0.49","","1.1800","0.1900","1","0","0.3400",""
"7031516","Flesh & Blood TCG","Outsiders","Destructive Deliberation (Red)","","OUT204","Common","Near Mint","0.15","","1.0200","0.0300","11","0","0.1000",""
"7031546","Flesh & Blood TCG","Outsiders","Destructive Deliberation (Yellow)","","OUT205","Common","Near Mint","0.19","","1.0400","0.0500","11","0","0.1300",""
"7031551","Flesh & Blood TCG","Outsiders","Destructive Deliberation (Yellow)","","OUT205","Common","Near Mint Rainbow Foil","0.17","","1.1200","0.1300","1","0","0.1500",""
"7018411","Flesh & Blood TCG","Outsiders","Dishonor","","OUT051","Majestic","Near Mint","2.67","","3.5900","2.6000","0","0","2.9300",""
"7031986","Flesh & Blood TCG","Outsiders","Falcon Wing (Blue)","","OUT117","Common","Near Mint","0.17","","1.0400","0.0500","5","0","0.1100",""
"7031956","Flesh & Blood TCG","Outsiders","Falcon Wing (Red)","","OUT115","Common","Near Mint","0.11","","1.0400","0.0500","9","0","0.0900",""
"7031961","Flesh & Blood TCG","Outsiders","Falcon Wing (Red)","","OUT115","Common","Near Mint Rainbow Foil","0.40","","1.1300","0.1400","2","0","0.2700",""
"7031976","Flesh & Blood TCG","Outsiders","Falcon Wing (Yellow)","","OUT116","Common","Near Mint","0.19","","1.0400","0.0500","8","0","0.1200",""
"7031981","Flesh & Blood TCG","Outsiders","Falcon Wing (Yellow)","","OUT116","Common","Near Mint Rainbow Foil","0.38","","1.2600","0.2700","1","0","0.3200",""
"7031626","Flesh & Blood TCG","Outsiders","Feisty Locals (Blue)","","OUT209","Common","Near Mint","0.15","","1.0400","0.0500","8","0","0.1000",""
"7031631","Flesh & Blood TCG","Outsiders","Feisty Locals (Blue)","","OUT209","Common","Near Mint Rainbow Foil","0.10","","1.0500","0.0600","1","0","0.0700",""
"7031601","Flesh & Blood TCG","Outsiders","Feisty Locals (Red)","","OUT207","Common","Near Mint","0.13","","1.0400","0.0500","11","0","0.0800",""
"7031606","Flesh & Blood TCG","Outsiders","Feisty Locals (Red)","","OUT207","Common","Near Mint Rainbow Foil","0.50","","1.1800","0.1900","1","0","0.2300",""
"7031611","Flesh & Blood TCG","Outsiders","Feisty Locals (Yellow)","","OUT208","Common","Near Mint","0.06","","1.0200","0.0300","11","0","0.0500",""
"7031616","Flesh & Blood TCG","Outsiders","Feisty Locals (Yellow)","","OUT208","Common","Near Mint Rainbow Foil","","","1.0400","0.0500","1","0","0.0500",""
"7030846","Flesh & Blood TCG","Outsiders","Fisticuffs","","OUT181","Common","Near Mint","0.20","","1.0600","0.0700","6","0","0.1400",""
"7030861","Flesh & Blood TCG","Outsiders","Fleet Foot Sandals","","OUT182","Common","Near Mint","0.10","","1.0400","0.0500","7","0","0.0700",""
"7031886","Flesh & Blood TCG","Outsiders","Fletch a Blue Tail (Blue)","","OUT111","Rare","Near Mint","0.20","","1.0700","0.0800","3","0","0.1500",""
"7031891","Flesh & Blood TCG","Outsiders","Fletch a Blue Tail (Blue)","","OUT111","Rare","Near Mint Rainbow Foil","0.92","","1.4300","0.4400","1","0","0.7000",""
"7031861","Flesh & Blood TCG","Outsiders","Fletch a Red Tail (Red)","","OUT109","Rare","Near Mint","0.16","","1.0600","0.0700","4","0","0.1200",""
"7031866","Flesh & Blood TCG","Outsiders","Fletch a Red Tail (Red)","","OUT109","Rare","Near Mint Rainbow Foil","0.95","","1.4300","0.4400","1","0","0.7000",""
"7031871","Flesh & Blood TCG","Outsiders","Fletch a Yellow Tail (Yellow)","","OUT110","Rare","Near Mint","0.17","","1.0700","0.0800","3","0","0.1300",""
"7031876","Flesh & Blood TCG","Outsiders","Fletch a Yellow Tail (Yellow)","","OUT110","Rare","Near Mint Rainbow Foil","0.74","","1.4200","0.4300","1","0","0.5800",""
"7030340","Flesh & Blood TCG","Outsiders","Flick Knives","","OUT139","Legendary","Near Mint Rainbow Foil","40.66","","39.9500","39.9500","0","0","43.9400",""
"7030991","Flesh & Blood TCG","Outsiders","Frailty Trap (Red)","","OUT172","Common","Near Mint","0.14","","1.0200","0.0300","9","0","0.0800",""
"7031701","Flesh & Blood TCG","Outsiders","Freewheeling Renegades (Blue)","","OUT212","Common","Near Mint","0.10","","1.0500","0.0600","11","0","0.0700",""
"7031651","Flesh & Blood TCG","Outsiders","Freewheeling Renegades (Red)","","OUT210","Common","Near Mint","0.09","","1.0200","0.0300","11","0","0.0700",""
"7031656","Flesh & Blood TCG","Outsiders","Freewheeling Renegades (Red)","","OUT210","Common","Near Mint Rainbow Foil","0.12","","1.0700","0.0800","1","0","0.0900",""
"7031676","Flesh & Blood TCG","Outsiders","Freewheeling Renegades (Yellow)","","OUT211","Common","Near Mint","0.10","","1.0400","0.0500","8","0","0.0700",""
"7031086","Flesh & Blood TCG","Outsiders","Give and Take","","OUT185","Majestic","Near Mint","5.46","","5.8700","5.8700","0","0","6.6600",""
"7031096","Flesh & Blood TCG","Outsiders","Gore Belching","","OUT186","Majestic","Near Mint","1.41","","2.0800","1.0900","1","0","1.5500",""
"7030906","Flesh & Blood TCG","Outsiders","Head Jab (Blue)","","OUT079","Common","Near Mint","0.12","","1.0400","0.0500","8","0","0.0800",""
"7030876","Flesh & Blood TCG","Outsiders","Head Jab (Red)","","OUT077","Common","Near Mint","0.06","","1.0300","0.0400","5","0","0.0500",""
"7030891","Flesh & Blood TCG","Outsiders","Head Jab (Yellow)","","OUT078","Common","Near Mint","0.16","","1.0400","0.0500","8","0","0.1200",""
"7022108","Flesh & Blood TCG","Outsiders","Head Leads the Tail","","OUT052","Majestic","Near Mint","0.65","","1.2600","0.2700","1","0","0.7600",""
"7031161","Flesh & Blood TCG","Outsiders","Humble (Blue)","","OUT191","Rare","Near Mint","0.22","","1.0600","0.0700","3","0","0.1400",""
"7031141","Flesh & Blood TCG","Outsiders","Humble (Red)","","OUT189","Rare","Near Mint","0.22","","1.0600","0.0700","3","0","0.1300",""
"7031151","Flesh & Blood TCG","Outsiders","Humble (Yellow)","","OUT190","Rare","Near Mint","0.23","","1.0700","0.0800","3","0","0.1500",""
"7030530","Flesh & Blood TCG","Outsiders","Hurl (Blue)","","OUT150","Rare","Near Mint","0.22","","1.0700","0.0800","3","0","0.1500",""
"7030510","Flesh & Blood TCG","Outsiders","Hurl (Red)","","OUT148","Rare","Near Mint","0.20","","1.0600","0.0700","4","0","0.1300",""
"7030515","Flesh & Blood TCG","Outsiders","Hurl (Red)","","OUT148","Rare","Near Mint Rainbow Foil","0.87","","1.4400","0.4500","2","0","0.7400",""
"7030520","Flesh & Blood TCG","Outsiders","Hurl (Yellow)","","OUT149","Rare","Near Mint","0.21","","1.0700","0.0800","3","0","0.1400",""
"7031011","Flesh & Blood TCG","Outsiders","Inertia Trap (Red)","","OUT173","Common","Near Mint","0.15","","1.0800","0.0900","7","0","0.1100",""
"7021045","Flesh & Blood TCG","Outsiders","Infect (Blue)","","OUT026","Common","Near Mint","0.15","","1.0400","0.0500","8","0","0.1100",""
"7021030","Flesh & Blood TCG","Outsiders","Infect (Red)","","OUT024","Common","Near Mint","0.12","","1.0400","0.0500","8","0","0.1000",""
"7039550","Flesh & Blood TCG","Outsiders","Infect (Red)","","OUT024","Common","Near Mint Rainbow Foil","0.28","","1.1100","0.1200","1","0","0.2400",""
"7021040","Flesh & Blood TCG","Outsiders","Infect (Yellow)","","OUT025","Common","Near Mint","0.15","","1.0400","0.0500","8","0","0.1000",""
"7039555","Flesh & Blood TCG","Outsiders","Infect (Yellow)","","OUT025","Common","Near Mint Rainbow Foil","0.39","","1.2200","0.2300","1","0","0.3700",""
"7032026","Flesh & Blood TCG","Outsiders","Infecting Shot (Blue)","","OUT120","Common","Near Mint","0.15","","1.0400","0.0500","5","0","0.1000",""
"7032001","Flesh & Blood TCG","Outsiders","Infecting Shot (Red)","","OUT118","Common","Near Mint","0.14","","1.0400","0.0500","8","0","0.0900",""
"7032006","Flesh & Blood TCG","Outsiders","Infecting Shot (Red)","","OUT118","Common","Near Mint Rainbow Foil","0.69","","1.5100","0.5200","0","0","0.4300",""
"7032011","Flesh & Blood TCG","Outsiders","Infecting Shot (Yellow)","","OUT119","Common","Near Mint","0.14","","1.0200","0.0300","9","0","0.1000",""
"7032016","Flesh & Blood TCG","Outsiders","Infecting Shot (Yellow)","","OUT119","Common","Near Mint Rainbow Foil","0.50","","1.0800","0.0900","1","0","0.3100",""
"7031201","Flesh & Blood TCG","Outsiders","Infectious Host (Blue)","","OUT194","Rare","Near Mint","0.19","","1.0600","0.0700","3","0","0.1300",""
"7031181","Flesh & Blood TCG","Outsiders","Infectious Host (Red)","","OUT192","Rare","Near Mint","0.16","","1.0700","0.0800","3","0","0.1300",""
"7031191","Flesh & Blood TCG","Outsiders","Infectious Host (Yellow)","","OUT193","Rare","Near Mint","0.19","","1.0700","0.0800","3","0","0.1400",""
"7031196","Flesh & Blood TCG","Outsiders","Infectious Host (Yellow)","","OUT193","Rare","Near Mint Rainbow Foil","0.69","","1.2300","0.2400","1","0","0.4800",""
"7021095","Flesh & Blood TCG","Outsiders","Isolate (Blue)","","OUT029","Common","Near Mint","0.13","","1.0400","0.0500","9","0","0.1000",""
"7039575","Flesh & Blood TCG","Outsiders","Isolate (Blue)","","OUT029","Common","Near Mint Rainbow Foil","0.50","","1.0900","0.1000","1","0","0.3200",""
"7021065","Flesh & Blood TCG","Outsiders","Isolate (Red)","","OUT027","Common","Near Mint","0.11","","1.0400","0.0500","9","0","0.0900",""
"7039565","Flesh & Blood TCG","Outsiders","Isolate (Red)","","OUT027","Common","Near Mint Rainbow Foil","0.48","","1.0900","0.1000","1","0","0.3100",""
"7021085","Flesh & Blood TCG","Outsiders","Isolate (Yellow)","","OUT028","Common","Near Mint","0.15","","1.0500","0.0600","9","0","0.1100",""
"7039570","Flesh & Blood TCG","Outsiders","Isolate (Yellow)","","OUT028","Common","Near Mint Rainbow Foil","0.23","","1.0800","0.0900","1","0","0.1600",""
"7031906","Flesh & Blood TCG","Outsiders","Lace with Bloodrot (Red)","","OUT112","Rare","Near Mint","0.31","","1.1300","0.1400","0","0","0.2300",""
"7031926","Flesh & Blood TCG","Outsiders","Lace with Frailty (Red)","","OUT113","Rare","Near Mint","0.25","","1.0800","0.0900","4","0","0.1900",""
"7031931","Flesh & Blood TCG","Outsiders","Lace with Frailty (Red)","","OUT113","Rare","Near Mint Rainbow Foil","0.86","","1.5300","0.5400","1","0","0.7600",""
"7031936","Flesh & Blood TCG","Outsiders","Lace with Inertia (Red)","","OUT114","Rare","Near Mint","0.24","","1.0900","0.1000","0","0","0.1700",""
"7031291","Flesh & Blood TCG","Outsiders","Looking for a Scrap (Blue)","","OUT197","Rare","Near Mint","0.16","","1.0400","0.0500","3","0","0.1000",""
"7031296","Flesh & Blood TCG","Outsiders","Looking for a Scrap (Blue)","","OUT197","Rare","Near Mint Rainbow Foil","0.31","","1.0900","0.1000","1","0","0.2100",""
"7031226","Flesh & Blood TCG","Outsiders","Looking for a Scrap (Red)","","OUT195","Rare","Near Mint","0.16","","1.0600","0.0700","4","0","0.1200",""
"7031231","Flesh & Blood TCG","Outsiders","Looking for a Scrap (Red)","","OUT195","Rare","Near Mint Rainbow Foil","0.73","","1.2400","0.2500","1","0","0.5300",""
"7031256","Flesh & Blood TCG","Outsiders","Looking for a Scrap (Yellow)","","OUT196","Rare","Near Mint","0.20","","1.0700","0.0800","3","0","0.1400",""
"7031431","Flesh & Blood TCG","Outsiders","Malign (Blue)","","OUT032","Common","Near Mint","0.17","","1.0400","0.0500","8","0","0.1200",""
"7031436","Flesh & Blood TCG","Outsiders","Malign (Blue)","","OUT032","Common","Near Mint Rainbow Foil","0.29","","1.0800","0.0900","1","0","0.2000",""
"7031396","Flesh & Blood TCG","Outsiders","Malign (Red)","","OUT030","Common","Near Mint","0.15","","1.0500","0.0600","7","0","0.1000",""
"7031411","Flesh & Blood TCG","Outsiders","Malign (Yellow)","","OUT031","Common","Near Mint","0.15","","1.0400","0.0500","7","0","0.1100",""
"7031416","Flesh & Blood TCG","Outsiders","Malign (Yellow)","","OUT031","Common","Near Mint Rainbow Foil","0.34","","1.1900","0.2000","1","0","0.2900",""
"7030645","Flesh & Blood TCG","Outsiders","Mask of Malicious Manifestations","","OUT157","Common","Near Mint","0.17","","1.0700","0.0800","7","0","0.1100",""
"7031721","Flesh & Blood TCG","Outsiders","Mask of Many Faces","","OUT049","Common","Near Mint","0.20","","1.0800","0.0900","5","0","0.1400",""
"7031731","Flesh & Blood TCG","Outsiders","Mask of Many Faces","","OUT049","Common","Near Mint Rainbow Foil","1.78","","1.7200","0.7300","1","0","1.3300",""
"7030345","Flesh & Blood TCG","Outsiders","Mask of Shifting Perspectives","","OUT140","Common","Near Mint","0.20","","1.0700","0.0800","7","0","0.1400",""
"7031791","Flesh & Blood TCG","Outsiders","Melting Point","","OUT105","Majestic","Near Mint","4.16","","4.5800","3.5900","0","0","4.3100",""
"7030145","Flesh & Blood TCG","Outsiders","Murkmire Grapnel (Blue)","","OUT123","Common","Near Mint","0.11","","1.0400","0.0500","6","0","0.0800",""
"7030150","Flesh & Blood TCG","Outsiders","Murkmire Grapnel (Blue)","","OUT123","Common","Near Mint Rainbow Foil","0.13","","1.0700","0.0800","1","0","0.1000",""
"7030125","Flesh & Blood TCG","Outsiders","Murkmire Grapnel (Red)","","OUT121","Common","Near Mint","0.22","","1.0400","0.0500","9","0","0.1400",""
"7030135","Flesh & Blood TCG","Outsiders","Murkmire Grapnel (Yellow)","","OUT122","Common","Near Mint","0.09","","1.0400","0.0500","9","0","0.0600",""
"7030751","Flesh & Blood TCG","Outsiders","Nerve Scalpel","","OUT005","Majestic","Near Mint","3.93","","4.7700","3.7800","0","0","3.8500",""
"7031236","Flesh & Blood TCG","Outsiders","One-Two Punch (Blue)","","OUT082","Common","Near Mint","0.15","","1.0400","0.0500","8","0","0.1100",""
"7031241","Flesh & Blood TCG","Outsiders","One-Two Punch (Blue)","","OUT082","Common","Near Mint Rainbow Foil","0.20","","1.0700","0.0800","2","0","0.1600",""
"7031211","Flesh & Blood TCG","Outsiders","One-Two Punch (Red)","","OUT080","Common","Near Mint","0.18","","1.0400","0.0500","8","0","0.1100",""
"7031216","Flesh & Blood TCG","Outsiders","One-Two Punch (Yellow)","","OUT081","Common","Near Mint","0.18","","1.0400","0.0500","4","0","0.1100",""
"7031221","Flesh & Blood TCG","Outsiders","One-Two Punch (Yellow)","","OUT081","Common","Near Mint Rainbow Foil","0.21","","1.0700","0.0800","2","0","0.1600",""
"6922550","Flesh & Blood TCG","Outsiders","Outsiders Booster Pack","","","None","Unopened","5.32","","4.8800","3.8900","0","0","5.1800",""
"7021270","Flesh & Blood TCG","Outsiders","Peace of Mind (Blue)","","OUT233","Common","Near Mint","0.15","","1.0200","0.0300","9","0","0.1000",""
"7032111","Flesh & Blood TCG","Outsiders","Peace of Mind (Blue)","","OUT233","Common","Near Mint Rainbow Foil","0.32","","1.0900","0.1000","1","0","0.2200",""
"7022098","Flesh & Blood TCG","Outsiders","Peace of Mind (Red)","","OUT231","Common","Near Mint","0.17","","1.0200","0.0300","11","0","0.1100",""
"7022103","Flesh & Blood TCG","Outsiders","Peace of Mind (Yellow)","","OUT232","Common","Near Mint","0.21","","1.0200","0.0300","11","0","0.1200",""
"7032106","Flesh & Blood TCG","Outsiders","Peace of Mind (Yellow)","","OUT232","Common","Near Mint Rainbow Foil","0.34","","1.2300","0.2400","1","0","0.3000",""
"7031821","Flesh & Blood TCG","Outsiders","Pendulum Trap (Yellow)","","OUT107","Rare","Near Mint","0.17","","1.0700","0.0800","3","0","0.1300",""
"7030585","Flesh & Blood TCG","Outsiders","Plunge (Blue)","","OUT153","Common","Near Mint","0.21","","1.0400","0.0500","8","0","0.1200",""
"7030550","Flesh & Blood TCG","Outsiders","Plunge (Red)","","OUT151","Common","Near Mint","0.14","","1.0500","0.0600","8","0","0.0900",""
"7030575","Flesh & Blood TCG","Outsiders","Plunge (Yellow)","","OUT152","Common","Near Mint","0.13","","1.0200","0.0300","11","0","0.0900",""
"7030580","Flesh & Blood TCG","Outsiders","Plunge (Yellow)","","OUT152","Common","Near Mint Rainbow Foil","0.38","","1.2200","0.2300","1","0","0.3100",""
"7031126","Flesh & Blood TCG","Outsiders","Premeditate","","OUT188","Majestic","Near Mint","26.40","","24.9800","23.9900","0","0","27.3700",""
"7031506","Flesh & Blood TCG","Outsiders","Prowl (Blue)","","OUT035","Common","Near Mint","0.18","","1.0400","0.0500","8","0","0.1200",""
"7031466","Flesh & Blood TCG","Outsiders","Prowl (Red)","","OUT033","Common","Near Mint","0.20","","1.0400","0.0500","9","0","0.1300",""
"7031486","Flesh & Blood TCG","Outsiders","Prowl (Yellow)","","OUT034","Common","Near Mint","0.13","","1.0400","0.0500","7","0","0.0900",""
"7031491","Flesh & Blood TCG","Outsiders","Prowl (Yellow)","","OUT034","Common","Near Mint Rainbow Foil","0.24","","1.0900","0.1000","1","0","0.2200",""
